sample_id	treatment	animal_id	notes
RUM_KSU_17	CON	A17
RUM_KSU_18	SCFP	A18
RUM_KSU_19	SCFP	A19
RUM_KSU_20	CON	A20
RUM_KSU_21	CON	A21
RUM_KSU_23	SCFP	A23
RUM_KSU_43	CON	A43
RUM_KSU_44	SCFP	A44
RUM_KSU_45	SCFP	A45
RUM_KSU_46	CON	A46
RUM_KSU_47	CON	A47
RUM_KSU_48	SCFP	A48
